_id,utm_medium,app__os
ed35aabf1e,invite,android
376e1b9350,invite,iOS
69a1343825,invite,android
d701be6e17,invite,iOS
d1ee3ffe0f,invite,iOS
1c94f10f17,invite,iOS
f6f10dfc0c,invite,android
2c8cd288d9,invite,iOS
84398008b7,invite,iOS
a3346fe280,invite,android
7bf40757a8,invite,iOS
da63f3e834,invite,android
fada26b84c,organic,android
1a510cf8a4,invite,iOS
96796999c8,invite,android
8f4d6d3953,invite,android
77889920da,invite,android
f35858ef1a,organic,iOS
b923eedb6e,invite,iOS
97b606cad2,invite,android
bc772bf75d,email,android
18d387cf98,invite,android
e11847ec97,organic,iOS
2fbc547602,invite,iOS
c633276c4f,organic,iOS
f3917cfda3,invite,android
12349b5af2,invite,iOS
36ad5f3e3a,invite,android
90bd81dccf,invite,android
644de22200,invite,android
b1d30e7e2b,invite,iOS
ee63324e6b,organic,iOS
70aef737f4,invite,android
44c8cb8ed7,invite,android
9a72f7d64f,invite,android
0815f75633,email,android
59c331fdb1,invite,iOS
a722cf3fa3,invite,android
d52d70fbca,invite,iOS
142ad0727a,invite,iOS
c575699ca8,invite,iOS
8ac9a09867,invite,iOS
51dab0a204,invite,android
16f5359b2c,invite,android
2546df8c1f,invite,iOS
c26185978d,invite,iOS
499ad436c3,organic,android
a5ba56ff1a,invite,iOS
c797790a7f,invite,iOS
f3937211df,invite,iOS
d58a591dae,invite,android
978ade0e42,invite,android
a300cae1a7,invite,android
d6a7d176d2,invite,iOS
85462cc756,invite,iOS
34fd433672,invite,android
0c436f5177,invite,android
0ae44bf612,invite,iOS
d6d5be7a48,organic,iOS
fc10999e3d,invite,iOS
7f9028cbf3,organic,android
133110807b,invite,iOS
6956279ddf,blogger,iOS
6dc0b4881f,blogger,iOS
99e14eee7d,invite,iOS
c605c15abf,invite,iOS
c445e205e5,organic,iOS
0d29f51135,organic,iOS
ded15d824a,invite,android
f1a13e1e4b,invite,iOS
2349741338,invite,android
f3e6657f4d,invite,android
56ca2684d1,invite,android
3889d4463b,invite,android
d0492b44be,cross-promotion,iOS
cf27d23c23,invite,android
5a87fbbf2b,invite,android
22aed1dbaf,invite,android
df51104b93,invite,android
b6593857d3,organic,iOS
c1d823ea7a,invite,iOS
e9eeb74d6d,invite,android
56e6ecb864,invite,iOS
60c4f55cae,invite,iOS
4a69b0dd9a,invite,android
aceab917a4,organic,android
b111bab14c,invite,android
d8425ac49a,invite,iOS
754ee3dc1c,invite,iOS
cda164d2a6,invite,iOS
46b84c05ae,offline,iOS
4f0cd50d05,invite,android
ae529e83c8,invite,iOS
51fce8f827,organic,iOS
7e043b2dca,invite,iOS
d6145b691b,invite,iOS
9194e450ad,invite,android
51b36c4e6b,invite,android
620b4cd529,invite,android
c1c01df133,invite,iOS
04152de18a,invite,iOS
9ddc4da8f9,invite,iOS
5b2531c529,invite,iOS
8a2bb18553,invite,iOS
c35cbabfac,invite,android
19ce91665f,organic,iOS
40067e6561,invite,iOS
f075b8d1da,invite,android
a9387be9f7,invite,iOS
3bb1f90952,invite,iOS
4d280db1ba,invite,android
0201f507ad,invite,android
40f2603fb4,invite,iOS
328494af4e,invite,iOS
8fd921e21f,invite,android
8bbc54ea3f,invite,android
e56776b811,invite,iOS
ead577586b,cpa,iOS
691bca3946,invite,android
5abfefe0e3,invite,iOS
eb0d655e56,organic,iOS
dcba8925de,invite,iOS
1f5ec73777,cross-promotion,iOS
cead6da82a,invite,android
85bde90ca9,invite,android
5eb65b3f7f,invite,android
7865bf05bf,organic,iOS
70cd642f8e,cross-promotion,iOS
1da7c04b5a,invite,android
20624a2e54,invite,iOS
9d7f6483a8,invite,android
ea1531de29,invite,android
09ba34a055,invite,android
e035cd2ed2,invite,android
e2fab71d8a,invite,android
513dc51c2a,invite,android
3b88aa95f4,organic,android
77a9ab454a,invite,android
c6bdd636b7,invite,iOS
32c8e08f3a,invite,android
053b50a8a1,invite,iOS
0291c7047f,invite,android
2757b61c68,invite,android
fa51c39543,affiliate,android
bea57128cd,invite,iOS
6b9b8fa67e,invite,android
b3424f885e,invite,iOS
3622a8d857,invite,iOS
f39b0c7264,invite,iOS
3f18d4487e,organic,iOS
52fe009a2d,invite,iOS
f08461f42c,organic,iOS
